CHARGE_T05_soc,CHARGE_T05_ocv,CHARGE_T05_r0,CHARGE_T05_r1,CHARGE_T05_r2,CHARGE_T05_c1,CHARGE_T05_c2,CHARGE_T15_soc,CHARGE_T15_ocv,CHARGE_T15_r0,CHARGE_T15_r1,CHARGE_T15_r2,CHARGE_T15_c1,CHARGE_T15_c2,CHARGE_T25_soc,CHARGE_T25_ocv,CHARGE_T25_r0,CHARGE_T25_r1,CHARGE_T25_r2,CHARGE_T25_c1,CHARGE_T25_c2,CHARGE_T35_soc,CHARGE_T35_ocv,CHARGE_T35_r0,CHARGE_T35_r1,CHARGE_T35_r2,CHARGE_T35_c1,CHARGE_T35_c2,CHARGE_T45_soc,CHARGE_T45_ocv,CHARGE_T45_r0,CHARGE_T45_r1,CHARGE_T45_r2,CHARGE_T45_c1,CHARGE_T45_c2,CHARGE_T55_soc,CHARGE_T55_ocv,CHARGE_T55_r0,CHARGE_T55_r1,CHARGE_T55_r2,CHARGE_T55_c1,CHARGE_T55_c2,DISCHARGE_T05_soc,DISCHARGE_T05_ocv,DISCHARGE_T05_r0,DISCHARGE_T05_r1,DISCHARGE_T05_r2,DISCHARGE_T05_c1,DISCHARGE_T05_c2,DISCHARGE_T15_soc,DISCHARGE_T15_ocv,DISCHARGE_T15_r0,DISCHARGE_T15_r1,DISCHARGE_T15_r2,DISCHARGE_T15_c1,DISCHARGE_T15_c2,DISCHARGE_T25_soc,DISCHARGE_T25_ocv,DISCHARGE_T25_r0,DISCHARGE_T25_r1,DISCHARGE_T25_r2,DISCHARGE_T25_c1,DISCHARGE_T25_c2,DISCHARGE_T35_soc,DISCHARGE_T35_ocv,DISCHARGE_T35_r0,DISCHARGE_T35_r1,DISCHARGE_T35_r2,DISCHARGE_T35_c1,DISCHARGE_T35_c2,DISCHARGE_T45_soc,DISCHARGE_T45_ocv,DISCHARGE_T45_r0,DISCHARGE_T45_r1,DISCHARGE_T45_r2,DISCHARGE_T45_c1,DISCHARGE_T45_c2,DISCHARGE_T55_soc,DISCHARGE_T55_ocv,DISCHARGE_T55_r0,DISCHARGE_T55_r1,DISCHARGE_T55_r2,DISCHARGE_T55_c1,DISCHARGE_T55_c2
0.0,2.787492165,0.069790461,0.198757043,0.153895022,63.22662379,4992.547181,0.0,2.746464725,0.053929963,0.062526413,0.134451289,124.1716174,1160.954609,0.0,2.707228359,0.041647936,0.020150846,0.177261132,374.5159181,810.605552,0.0,2.673907826,0.031443267,0.14745398,0.051744965,48.32189874,2580.958058,0.0,2.646438814,0.023372495,0.132004224,0.07073486,52.88144941,1840.543522,0.0,2.623865649,0.017405202,0.113880185,0.093370108,63.44946413,1426.502816,0.0,2.833668609,0.049911705,0.205069412,0.082674689,386.6714933,217268.8309,0.0,2.7650051,0.037700072,0.14083254,0.058094697,472.6025184,4532.906862,0.0,2.7262962,0.027388638,0.202509804,0.005760246,593.3560853,782928.414,0.0,2.739685201,0.019999469,0.035317588,0.173677375,93.10551379,2787936.57,0.0,2.712538274,0.014804893,0.030001078,0.154566997,258.0923528,1676.93837,0.0,2.846101192,0.012241174,0.037177604,0.044148795,489.0563726,101387.622
0.04,3.086737738,0.063285893,0.027559833,0.034010398,518.2586771,8006.162161,0.04,3.079038262,0.048058561,0.023117044,0.034665787,567.4671932,6949.894658,0.04,3.065901984,0.036279374,0.019020008,0.034668303,644.0048675,5712.919186,0.04,3.053385189,0.026910765,0.015882674,0.032553172,712.096248,4725.96561,0.04,3.042674697,0.019845596,0.012118847,0.029567343,763.5249071,3614.159796,0.04,3.033301391,0.014783711,0.008621059,0.026827159,753.2749803,2796.363836,0.04,3.010976395,0.054184714,0.147728383,0.048082215,318.5120617,25549.88297,0.04,2.963718664,0.041393834,0.109513193,0.064869252,311.8115379,4532.906862,0.04,2.943304312,0.030414775,0.132288912,0.002150868,394.8642932,782928.414,0.04,2.946711055,0.022128718,0.035317588,0.086564037,322.3653099,1374.120023,0.04,2.932345135,0.016315644,0.030001078,0.077428352,258.0923528,1676.93837,0.04,2.902617138,0.012241174,0.037177604,0.044148795,299.7698459,2674.047225
0.08,3.232685529,0.053058245,0.028720816,0.032546821,369.8851338,8295.224759,0.08,3.228790745,0.038955898,0.024918591,0.024072924,364.3751521,9884.728155,0.08,3.218891446,0.028222754,0.021634314,0.01721824,377.1346087,11839.20429,0.08,3.209114347,0.020328758,0.01927209,0.012222137,398.5809115,14104.03279,0.08,3.200628729,0.014834797,0.017594768,0.008621653,423.97186,16815.1196,0.08,3.19317452,0.011099269,0.016386863,0.005998815,449.8660459,20222.59197,0.08,3.171493963,0.051355024,0.090106898,0.016183458,443.0550073,75156.00541,0.08,3.14175759,0.038702918,0.080869706,0.003295992,474.5839962,436127.5709,0.08,3.131775348,0.0281885,0.076071712,9.93e-05,474.3838787,15058939.73,0.08,3.128891721,0.020395171,0.065875987,0.000951026,739.3802122,1548137.748,0.08,3.123258613,0.014986889,0.055999742,0.001432802,887.6491213,1034392.509,0.08,3.125452605,0.010025897,0.046777505,0.000239846,1065.657677,6194460.724
0.12,3.336393275,0.046826263,0.029552065,0.057771132,1278.516298,25522.44427,0.12,3.341543771,0.033622944,0.023185478,0.049258745,1457.518307,30381.65424,0.12,3.343911044,0.023891723,0.014855443,0.011140019,469.4053983,23578.55778,0.12,3.334028509,0.017086557,0.014773998,0.034957748,1904.716359,42838.69891,0.12,3.32970993,0.012508056,0.0119851,0.03107224,1656.566574,48198.5637,0.12,3.325677076,0.009436872,0.009781075,0.028535641,487.0918575,52565.01233,0.12,3.309096385,0.044005153,0.069366508,0.002209104,702.1427172,592769.9996,0.12,3.289232979,0.03191579,0.055932182,0.001431411,852.1970009,958188.8723,0.12,3.285151969,0.022493558,0.044238353,0.001126032,1041.610631,1240048.171,0.12,3.284065098,0.01597308,0.036167163,0.000187359,1317.938052,7720296.506,0.12,3.282393795,0.011669679,0.030178045,0.000852458,1506.853044,1624031.79,0.12,3.280010694,0.008815413,0.026114019,0.000798993,1688.485593,1763924.53
0.16,3.387002105,0.042416489,0.029619364,0.053189128,1186.672315,22178.65952,0.16,3.397152509,0.030014728,0.021208908,0.033206227,1175.301525,21185.12377,0.16,3.397039435,0.021130403,0.01522142,0.023942249,874.3104001,19168.98482,0.16,3.394704815,0.015104846,0.012158158,0.018840991,754.1476613,20025.73794,0.16,3.392524752,0.011113604,0.01034814,0.014991765,734.5873494,21902.42844,0.16,3.390551105,0.008445455,0.009302589,0.011966434,738.5824474,24841.72947,0.16,3.379933838,0.040406188,0.049617639,0.022826497,873.2803065,38376.02798,0.16,3.37583695,0.028827155,0.041365757,0.01600471,1089.890081,60581.67742,0.16,3.374148922,0.020180842,0.0319018,0.011748479,1342.935468,48073.17048,0.16,3.373767287,0.014360465,0.027673159,0.008304688,1698.635411,101445.9435,0.16,3.372870707,0.010556483,0.024056215,0.006016652,1994.476084,164780.9957,0.16,3.371547578,0.008031952,0.021013926,0.005012181,2231.8584,138534.5916
0.2,3.426965137,0.039159375,0.031229563,0.034626977,1155.031381,23425.24363,0.2,3.435681808,0.027410437,0.022407207,0.024137708,1198.744688,21866.00307,0.2,3.435204811,0.019205605,0.016534118,0.018900653,1166.884346,20359.29321,0.2,3.433066724,0.013752888,0.012853157,0.0155667,1086.752529,19660.02647,0.2,3.431117851,0.010169844,0.01062957,0.013078049,1042.944745,19685.63882,0.2,3.429401074,0.007774448,0.009289183,0.011166251,1025.414666,20056.9539,0.2,3.418315475,0.037600055,0.041725932,0.026600369,885.6639581,31545.95855,0.2,3.415302594,0.026524709,0.031523341,0.024277098,1076.902423,30869.07338,0.2,3.415506693,0.018514182,0.024493925,0.023098738,1248.553137,34192.54313,0.2,3.414215157,0.01321675,0.015500087,0.017801035,971.8764207,18207.31243,0.2,3.414577372,0.009769452,0.017368886,0.014698392,2290.623315,47362.1304,0.2,3.41337815,0.007476583,0.013054657,0.012440132,2020.3932,32064.94719
0.24,3.473570319,0.036673057,0.03010558,0.026966702,1091.744972,23543.90765,0.24,3.481302349,0.02544849,0.02245127,0.019145385,1207.833899,24401.29298,0.24,3.480329082,0.017785475,0.01709849,0.014932986,1345.321113,24944.61852,0.24,3.477901793,0.01276678,0.013408766,0.012214057,1468.208134,25089.85883,0.24,3.475750653,0.009483618,0.010989062,0.010291185,1562.759637,25505.07574,0.24,3.473905169,0.007285774,0.009359874,0.008880547,1586.205298,25506.16821,0.24,3.462632442,0.035379785,0.042394133,0.027419224,1005.400986,38586.99558,0.24,3.456674974,0.024734071,0.03069721,0.017074609,1170.552863,35268.70151,0.24,3.455620693,0.017250628,0.022502935,0.013174686,1405.880565,32764.67261,0.24,3.455283552,0.012359472,0.016930952,0.011011309,1659.919172,30544.71428,0.24,3.45477446,0.00918056,0.012944167,0.00975967,1806.064395,26894.84607,0.24,3.454074539,0.007059953,0.010100591,0.009001374,1736.025573,23136.63027
0.28,3.519225441,0.034627034,0.025861956,0.027930321,989.6733628,19047.67082,0.28,3.527347958,0.023896137,0.019719616,0.020070432,1030.403429,20809.4616,0.28,3.526789128,0.016690359,0.015370788,0.015429478,1109.382425,22567.91645,0.28,3.524692831,0.012014014,0.012337884,0.012332271,1194.061197,24246.38377,0.28,3.522817348,0.008960638,0.010293172,0.010101684,1278.044011,25928.01792,0.28,3.521189302,0.006912618,0.008972441,0.008429422,1348.728824,27743.49462,0.28,3.509553775,0.033598261,0.039473156,0.028251247,985.2666461,25812.74175,0.28,3.504083536,0.023327047,0.027329144,0.019147225,1114.295832,22708.9302,0.28,3.503158674,0.01626933,0.019706512,0.015198696,1260.157209,21515.53954,0.28,3.502910417,0.011695022,0.014862992,0.012581954,1393.731134,21119.36832,0.28,3.502472866,0.008723295,0.011774538,0.0106564,1483.25158,21093.24952,0.28,3.501829615,0.006735336,0.009816711,0.009182024,1513.634775,21249.24385
0.32,3.555785065,0.032950229,0.02280074,0.02637277,980.8685998,19429.02199,0.32,3.564671468,0.022648501,0.016972377,0.019699,916.7115003,20443.44221,0.32,3.564698176,0.01582239,0.013247764,0.01551893,938.5761819,22055.54749,0.32,3.563111265,0.01142098,0.010760032,0.012471418,1011.564428,23841.35046,0.32,3.561686642,0.008548799,0.009130141,0.010157607,1095.115837,25848.21785,0.32,3.560454755,0.006618137,0.008095268,0.008393746,1161.058906,28004.16944,0.32,3.55022984,0.032211803,0.03974214,0.033515963,1021.715096,23673.33128,0.32,3.547225543,0.022209936,0.028620971,0.021388859,1204.867201,23578.71937,0.32,3.546618538,0.015488152,0.02097147,0.016263462,1424.747168,22647.41304,0.32,3.546390091,0.011165898,0.015754291,0.013403261,1630.549425,21212.63683,0.32,3.546012131,0.008358387,0.012238529,0.011531997,1766.13757,19747.17574,0.32,3.54547863,0.006475484,0.009909837,0.010183003,1798.385687,18456.34338
0.36,3.583999342,0.031505431,0.023819945,0.023534997,1211.538277,26578.37471,0.36,3.593909702,0.021615231,0.01684848,0.016976037,1168.903711,25359.21872,0.36,3.594451841,0.015116707,0.012618201,0.013617872,1138.744991,25554.33895,0.36,3.593212854,0.010941822,0.009966693,0.011294354,1170.793396,26476.77979,0.36,3.592082101,0.008216366,0.008274165,0.00952918,1222.61552,27558.83761,0.36,3.591116576,0.006380103,0.007213524,0.008137446,1256.542983,28619.94026,0.36,3.580484786,0.03115255,0.038943237,0.031636348,1067.509381,25698.00457,0.36,3.57966036,0.021358316,0.027837557,0.02181902,1286.93764,24847.97519,0.36,3.579733722,0.01488212,0.020266793,0.016615182,1557.055018,24097.01284,0.36,3.579738664,0.010747653,0.015126493,0.01348051,1818.851676,22874.90692,0.36,3.579535688,0.008065801,0.01163575,0.011493984,1999.18695,21271.7483,0.36,3.579180383,0.006265108,0.009293439,0.010156016,2040.417227,19638.02311
