CHARGE_T05_soc,CHARGE_T05_ocv,CHARGE_T05_r0,CHARGE_T05_r1,CHARGE_T05_r2,CHARGE_T05_r3,CHARGE_T05_c1,CHARGE_T05_c2,CHARGE_T05_c3,CHARGE_T15_soc,CHARGE_T15_ocv,CHARGE_T15_r0,CHARGE_T15_r1,CHARGE_T15_r2,CHARGE_T15_r3,CHARGE_T15_c1,CHARGE_T15_c2,CHARGE_T15_c3,CHARGE_T25_soc,CHARGE_T25_ocv,CHARGE_T25_r0,CHARGE_T25_r1,CHARGE_T25_r2,CHARGE_T25_r3,CHARGE_T25_c1,CHARGE_T25_c2,CHARGE_T25_c3,CHARGE_T35_soc,CHARGE_T35_ocv,CHARGE_T35_r0,CHARGE_T35_r1,CHARGE_T35_r2,CHARGE_T35_r3,CHARGE_T35_c1,CHARGE_T35_c2,CHARGE_T35_c3,CHARGE_T45_soc,CHARGE_T45_ocv,CHARGE_T45_r0,CHARGE_T45_r1,CHARGE_T45_r2,CHARGE_T45_r3,CHARGE_T45_c1,CHARGE_T45_c2,CHARGE_T45_c3,CHARGE_T55_soc,CHARGE_T55_ocv,CHARGE_T55_r0,CHARGE_T55_r1,CHARGE_T55_r2,CHARGE_T55_r3,CHARGE_T55_c1,CHARGE_T55_c2,CHARGE_T55_c3,DISCHARGE_T05_soc,DISCHARGE_T05_ocv,DISCHARGE_T05_r0,DISCHARGE_T05_r1,DISCHARGE_T05_r2,DISCHARGE_T05_r3,DISCHARGE_T05_c1,DISCHARGE_T05_c2,DISCHARGE_T05_c3,DISCHARGE_T15_soc,DISCHARGE_T15_ocv,DISCHARGE_T15_r0,DISCHARGE_T15_r1,DISCHARGE_T15_r2,DISCHARGE_T15_r3,DISCHARGE_T15_c1,DISCHARGE_T15_c2,DISCHARGE_T15_c3,DISCHARGE_T25_soc,DISCHARGE_T25_ocv,DISCHARGE_T25_r0,DISCHARGE_T25_r1,DISCHARGE_T25_r2,DISCHARGE_T25_r3,DISCHARGE_T25_c1,DISCHARGE_T25_c2,DISCHARGE_T25_c3,DISCHARGE_T35_soc,DISCHARGE_T35_ocv,DISCHARGE_T35_r0,DISCHARGE_T35_r1,DISCHARGE_T35_r2,DISCHARGE_T35_r3,DISCHARGE_T35_c1,DISCHARGE_T35_c2,DISCHARGE_T35_c3,DISCHARGE_T45_soc,DISCHARGE_T45_ocv,DISCHARGE_T45_r0,DISCHARGE_T45_r1,DISCHARGE_T45_r2,DISCHARGE_T45_r3,DISCHARGE_T45_c1,DISCHARGE_T45_c2,DISCHARGE_T45_c3,DISCHARGE_T55_soc,DISCHARGE_T55_ocv,DISCHARGE_T55_r0,DISCHARGE_T55_r1,DISCHARGE_T55_r2,DISCHARGE_T55_r3,DISCHARGE_T55_c1,DISCHARGE_T55_c2,DISCHARGE_T55_c3
0.0,2.65574038,0.07413405,0.096945089,0.11065355,0.095849466,71.02325611,683.2300605,7433.269239,0.0,2.627383616,0.057163266,0.083482818,0.086437611,0.084163872,59.40728114,517.9050682,3351.327363,0.0,2.603001563,0.044197354,0.079651692,0.088130892,0.081088254,66.69604328,888.1108364,4819.875965,0.0,2.583663653,0.033341927,0.076830149,0.088994586,0.081136637,67.91616589,834.2493691,4110.497611,0.0,2.568559538,0.024675777,0.08913114,0.091754185,0.09134856,54.95550648,718.2351218,5025.444773,0.0,2.556694367,0.018244995,0.084718277,0.088020634,0.087305529,51.95814044,761.1586734,4239.650336,0.0,2.906120659,0.0494264777163137,0.025108474,0.103963623,0.024492322,448.43254200000007,163.74675789999958,1171952.3343186274,0.0,2.855644278,0.0371308593637964,0.03173169,0.108432936,0.002751326,368.9503343,710.6087778,4304650.980343737,0.0,2.791627323,0.0272418305476016,0.0343523019999999,0.091306062,0.000774464,355.25463679999973,933.1930703,1259296.505,0.0,2.749700343,0.0199108915006625,0.050423801,0.077335015,0.000447163,31.747535590155167,2559.550650199698,40472017.07264192,0.0,2.724065677,0.0147576891906284,0.059973214,0.063207859,0.000379966,-2318.858909800001,1819.1683318689725,4543495.726999171,0.0,2.565993372471633,-0.006871220571951,0.1533302934947904,0.109584605,0.003770119,161.1493481023367,39792.452623410325,2865228.891704734
0.04,3.045839039,0.066504886,0.014374804,0.035717322,0.001666825,478.9878198,2116.671329,427444.3756,0.04,3.045918607,0.050430094,0.017479918,0.008222455,0.011891003,283.7248501,5444.417654,23720.5132,0.04,3.036740625,0.038087688,0.014415964,0.02297653,0.000357048,368.5117786,3406.519575,1094630.469,0.04,3.028538047,0.028206917,0.013423995,0.020549965,0.000264468,388.707622,3612.837188,1261067.635,0.04,3.021084361,0.020709785,0.010101536,0.024872992,0.000561724,484.9012175,2649.503507,817246.1295,0.04,3.014920482,0.015331888,0.011304714,0.021680167,0.000266306,389.3777637,3090.274539,1389923.947,0.04,3.04599421,0.053493465,0.025815598,0.103963623,0.024492322,377.9051046,587.1815118,28522.27508,0.04,3.00537852,0.040816203,0.032787093,0.108432936,0.002751326,302.8402413,710.6087778,358181.7129,0.04,2.966269711,0.030127035,0.035906652,0.091306062,0.000774464,275.2957368,933.1930703,1259296.505,0.04,2.942947158,0.022004919,0.035273409,0.077335015,0.000447163,273.3584988,1256.278764,2002710.968,0.04,2.92607086,0.016248743,0.033123478,0.063207859,0.000379966,269.0666681,1521.157554,2165544.94,0.04,2.931866695,0.01212374,0.024891516,0.04617343,0.011851568,306.6635169,1898.33701,47508.47893
0.08,3.197083369,0.054763453,0.029165214,0.011395172,0.046559415,236.0811021,6634.54937,15302.48782,0.08,3.201829345,0.040168984,0.02492314,0.002943128,0.026819666,198.991269,15210.51159,10516.93497,0.08,3.195758144,0.029057411,0.024010393,0.002221077,0.020991771,221.2563804,35239.66615,18618.50174,0.08,3.189937122,0.020859047,0.021763174,0.000497922,0.015170032,239.7632435,149107.0431,21984.92021,0.08,3.18414569,0.015155886,0.019327701,0.001865133,0.011800186,253.4314269,35333.17969,38903.38291,0.08,3.179399585,0.011292314,0.017899751,0.000813214,0.008205872,245.9142719,82386.25475,45107.32166,0.08,3.185867761,0.050826627,0.026522722,0.062122817,0.008923711,367.8297564,982.6585575,78283.21224,0.08,3.155112762,0.038322923,0.033842496,0.051842595,0.001844431,293.3959423,1486.29512,534297.3924,0.08,3.140912099,0.027961524,0.037461002,0.040590481,0.000379513,263.8730368,2099.166641,2569818.173,0.08,3.136193973,0.020270428,0.020123017,0.048465166,0.000614759,479.1670173,2004.621983,1456730.771,0.08,3.128076043,0.014918437,0.006273742,0.054796032,0.00049329,1420.591487,1754.672889,1668051.316,0.08,3.131469378,0.009968578,0.008842637,0.039479661,0.000605704,863.2402506,2220.199701,929579.3588
0.12,3.324440116,0.047946492,0.025431914,1.70272e-07,0.037641799,270.7368301,444005438.5,18927.75884,0.12,3.333547984,0.034392929,0.018329147,3.4172e-08,0.016566314,270.5792763,1310034727.0,17026.15828,0.12,3.330754541,0.02438766,0.015554027,6.32834e-08,0.014714128,341.5483759,1236817723.0,26561.908,0.12,3.327489943,0.017384879,0.012708642,6.86926e-06,0.010113497,410.5874578,10808103.48,32976.91849,0.12,3.323817074,0.012683612,0.010915016,2.49148e-09,0.009789414,448.7622271,26450584721.0,46894.24049,0.12,3.321116317,0.009541556,0.009286188,1.83307e-09,0.006332487,474.0162702,36549479137.0,58451.74813,0.12,3.320677131,0.043557629,0.006485104,0.063019301,0.002445795,1504.346842,968.6797034,285623.5494,0.12,3.300537771,0.031595404,0.015471207,0.042150177,0.000857723,641.7890232,1828.068136,1148942.642,0.12,3.29417987,0.022304028,0.01557326,0.0307799,0.000688368,634.7385231,2768.241077,1416799.051,0.12,3.291276548,0.015867563,0.014953087,0.023475641,0.000123327,644.8358237,4138.516869,7261470.175,0.12,3.288344799,0.011610191,0.012688691,0.01961,0.000560332,702.3911075,4903.065438,1468475.476,0.12,3.284960595,0.00878032,0.009970381,0.017908852,0.000572712,765.5996474,4894.38025,983129.8121
0.16,3.380849609,0.043281119,0.017564058,0.010134152,0.037928244,392.0139629,7460.104275,18784.81097,0.16,3.392113429,0.03056978,0.014879344,0.000985351,0.024338212,333.313568,45432.02876,11589.21135,0.16,3.39133296,0.021465244,0.013720504,0.000969056,0.021531429,387.190782,80769.34028,18151.85279,0.16,3.389911063,0.015299256,0.011778904,5.3748e-07,0.017098668,442.99617,138132962.6,19505.14255,0.16,3.388021204,0.011226628,0.009940473,0.002091197,0.014194727,492.7579433,31513.563,32340.6816,0.16,3.38684908,0.0085128,0.009371375,0.000847553,0.01110965,469.7074128,79048.37004,33317.42491,0.16,3.383611514,0.040069629,0.013270944,0.035972052,0.01804468,735.128318,1697.026273,38713.72409,0.16,3.379787669,0.028584734,0.013663672,0.029118556,0.011336336,726.6897736,2646.195694,86930.60861,0.16,3.378068111,0.020044507,0.012482339,0.022505004,0.009168486,791.9147582,3786.099457,106373.0123,0.16,3.376357079,0.014286999,0.010686283,0.019493677,0.003624241,902.3049338,4983.88966,247096.9306,0.16,3.374809969,0.010515556,0.008624733,0.017610156,0.001418639,1033.356538,5459.867057,580015.9606,0.16,3.373366059,0.008007836,0.007178872,0.01544102,0.002150121,1063.303584,5676.615129,261868.9948
0.2,3.419198519,0.039831868,0.014820502,0.01712147,0.029958864,464.5831834,4415.615812,23781.77204,0.2,3.430029699,0.027826173,0.010988013,0.008020715,0.020977054,451.3543209,5581.357036,13446.15373,0.2,3.429667128,0.019447172,0.011657804,0.006265591,0.017189728,455.6992747,12492.03749,22736.56203,0.2,3.428398141,0.013890524,0.010118482,0.004138691,0.014487776,515.6908942,17938.92792,23020.23107,0.2,3.426795317,0.010249482,0.008093735,0.005884223,0.012377628,605.1899103,11199.62217,37088.45733,0.2,3.425851403,0.007821975,0.007523184,0.004690025,0.00996633,585.0985228,14285.1399,37139.54159,0.2,3.422010365,0.037318748,0.015189436,0.027717691,0.01894738,642.2783968,2202.402668,36869.30566,0.2,3.419220361,0.026337409,0.015491359,0.01909956,0.021465737,640.9541763,4034.30211,45909.18855,0.2,3.418176548,0.018412215,0.013029331,0.01459002,0.018716327,758.6689032,5840.032034,52108.48526,0.2,3.417371053,0.01316267,0.011087517,0.011802877,0.015230032,869.6524454,8231.411639,58800.84541,0.2,3.416147919,0.009739448,0.008827309,0.01079675,0.011132944,1009.642242,8905.375452,73909.7454,0.2,3.414868885,0.007458875,0.007503273,0.008838409,0.008816621,1017.332053,9917.251993,63862.32783
0.24,3.463519121,0.037162131,0.014792441,0.0184416,0.023605352,465.4644789,4099.52678,30182.76909,0.24,3.473815009,0.025756773,0.009170831,0.011895091,0.016182375,540.7892724,3763.441162,17430.11736,0.24,3.473638308,0.017965587,0.010429596,0.009213476,0.011532134,509.3632402,8495.165569,33890.97914,0.24,3.472323788,0.012869351,0.008563845,0.00721005,0.009363633,609.3067855,10297.2482,35617.79513,0.24,3.470834,0.009542974,0.006573951,0.007851424,0.00787004,745.0994312,8393.519556,58330.98048,0.24,3.469839815,0.007321289,0.005927089,0.006707858,0.006089924,742.6586609,9987.938424,60779.89104,0.24,3.466648498,0.035155208,0.012965456,0.029104409,0.020357601,752.4491416,2097.466306,34315.279,0.24,3.461330022,0.024594624,0.014094204,0.019847975,0.016145598,704.4917783,3882.1793,61036.73436,0.24,3.459445312,0.017174949,0.01204703,0.014692935,0.011999536,820.5299164,5799.12611,81276.43271,0.24,3.458276852,0.01231884,0.010257498,0.011636222,0.008315822,940.0231887,8349.302773,107690.9556,0.24,3.457212599,0.009157783,0.008316583,0.009967655,0.006291733,1071.644974,9646.111433,130780.0459,0.24,3.455998857,0.007046408,0.006864489,0.008406009,0.00481755,1112.001101,10427.38966,116874.75
0.28,3.509563353,0.035024293,0.016564944,0.013134244,0.028018591,415.6582756,5756.085419,25428.64744,0.28,3.52051742,0.024141088,0.011261584,0.007759451,0.017211815,440.3898624,5769.28435,16387.62018,0.28,3.520541049,0.016831113,0.011362512,0.006326365,0.013143725,467.5420815,12372.03395,29735.50613,0.28,3.519475959,0.012093617,0.009344758,0.004912104,0.010390922,558.3889035,15114.43594,32096.47423,0.28,3.518152246,0.009006671,0.007278791,0.005993112,0.008617112,672.9478478,10996.13579,53273.8993,0.28,3.517325789,0.006940223,0.006567633,0.004951937,0.00665175,670.2268727,13529.58721,55646.24327,0.28,3.514412932,0.033420057,0.013581838,0.027300217,0.025171902,718.3009162,2236.081755,27752.24369,0.28,3.50953216,0.023215538,0.014136143,0.018739757,0.019794427,702.4017115,4111.760805,49785.45624,0.28,3.507502278,0.016209364,0.012045291,0.014043484,0.014263513,820.6483879,6067.311047,68375.82628,0.28,3.506213165,0.011662948,0.010344179,0.011281886,0.009450461,932.1460741,8611.532941,94761.38074,0.28,3.50509087,0.008705305,0.008552147,0.009697924,0.006772784,1042.127107,9914.401648,121491.1158,0.28,3.503855354,0.006724608,0.007200172,0.008182861,0.004890384,1060.158055,10711.74632,115134.1039
0.32,3.547890797,0.033279143,0.016925412,0.008676534,0.02962806,406.8058027,8713.368176,24047.30131,0.32,3.559464054,0.022847208,0.012667254,0.003216769,0.017991157,391.5203202,13916.59831,15677.73994,0.32,3.559742034,0.015935145,0.011684779,0.002937744,0.015140861,454.6472538,26642.89414,25813.28211,0.32,3.559001182,0.011484452,0.009664182,0.002176273,0.011978206,539.9328394,34115.05775,27843.23178,0.32,3.557940086,0.008585494,0.007561307,0.004070496,0.009706411,647.8042948,16189.93661,47295.25133,0.32,3.557383074,0.006640191,0.006817107,0.003330447,0.00747734,645.6997535,20116.71762,49502.21521,0.32,3.553389669,0.032075948,0.012535433,0.028004151,0.028744184,778.2616167,2179.873905,24303.23811,0.32,3.55159199,0.022123515,0.012799887,0.020876193,0.021554065,775.7295888,3690.969709,45721.05547,0.32,3.550101349,0.01544067,0.010731916,0.016536193,0.014125389,921.0795132,5152.708532,69044.43069,0.32,3.548982355,0.011140212,0.009223063,0.013768895,0.008492598,1045.453803,7056.0738,105449.329,0.32,3.548045979,0.008343897,0.007531567,0.012093265,0.005610727,1183.34262,7950.632882,146653.5593,0.32,3.547062862,0.006466807,0.006229232,0.010475927,0.004009985,1225.403002,8367.061997,140411.9837
0.36,3.57819403,0.03180096,0.014249014,0.011280975,0.023248464,483.2162928,6701.710889,30646.1057,0.36,3.589827011,0.021783929,0.010445555,0.005151573,0.015084414,474.7940219,8689.865527,18698.81672,0.36,3.590455233,0.015209881,0.010446209,0.003365252,0.013051426,508.5531784,23258.28724,29945.79494,0.36,3.5898726,0.010993737,0.008755385,0.002068767,0.010972247,595.9771284,35887.88133,30395.95603,0.36,3.588983401,0.008246307,0.006874092,0.003625273,0.009339196,712.5663895,18178.23936,49154.88818,0.36,3.588582191,0.006398114,0.006161757,0.002955533,0.007444506,714.374878,22668.55893,49720.54742,0.36,3.582870464,0.031047165,0.011646029,0.027965136,0.026225369,837.6972316,2182.91507,26637.44279,0.36,3.583179425,0.021293491,0.01210269,0.020159618,0.022042851,820.4168911,3822.165567,44707.21923,0.36,3.582655229,0.014846026,0.010075808,0.015746836,0.015536396,981.0576714,5411.003645,62773.85319,0.36,3.581927022,0.010727748,0.008563219,0.013048301,0.009760616,1126.011851,7445.746412,91750.22656,0.36,3.581251289,0.008054352,0.006894713,0.011478559,0.006597351,1292.646058,8376.409578,124721.7336,0.36,3.580477205,0.006258137,0.005648068,0.009899383,0.004701868,1351.49213,8854.362842,119750.2721
